'-----BSD
Date :2018/7/19 	Time :17:03:44 
MARS2000		2.9k
Applied Rules : BV RULES

Label				Value			
Database				D:\Notes\Gitee\Tool\FID Mark 2.ma2			
Section				Midship section			
x(m)				155			

Ship name				<Name>			
Builder				<Buidler>			
Service notation				FPSO			
Navigation notation				Unrestricted navigation			
Scantling length				310.000			
Breadth moulded				58.000			
Block coefficient				0.850			
Scantling draught				22.00			
Ballast draught				10.00			

'-----Geometric Properties
------------------------------------
Geo Prop for: "Midship section"
------------------------------------
				GROSS	NET
Total Area (m2)				10.62428	9.58178			
Total Effective Area (m2)				10.55164	9.52095			
Moment of inertia /GY axis (m4)				1465.0740	1320.4470			
Moment of inertia /GZ axis (m4)				4160.6680	3742.3780			
Neutral axis (m)				13.560	13.557			

'-----Environment
------------------------------------
Options for: "Midship section"
------------------------------------

Wave BM		
Acceler.		Standard

------------------------------------
Vertical Bending Moment
------------------------------------
	Hogging	Sagging
Rule wave	9676814.000	-10216080.000	
Values used in calculation:	
Wave	9676814.000	-10216080.000	
S.W.B.M	7500000.000	-6000000.000	
Total IACS	17176810.000	-16216080.000	
Total a	17854190.000	-16931210.000	
Total b	14747930.000	-13651840.000	
Total c	11641680.000	-10372480.000	
Total d	10088550.000	-8732801.000	

------------------------------------
Relative Motions
------------------------------------
	Scantling	Ballast
h1 Rule	 11.1972 	 11.1972 
h2 Rule	 15.7486 	 15.7486 

------------------------------------
Accelerations
------------------------------------
			upright condition			case c (with CFA)			case d (with CFA)
Comp	Draught (m)		x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)
 1 	10.000	Ballast	1.288	0.000	2.720	0.000	3.782	0.841	0.000	5.403	1.202
 2 	10.000	Ballast	1.291	0.000	2.720	0.000	3.798	2.825	0.000	5.426	4.036
 3 	10.000	Ballast	1.108	0.000	2.720	0.000	2.705	3.309	0.000	3.865	4.727

'-----SLongi.
----------------------------------------------------------------
Longitudinal stiffeners for: "Midship section"
----------------------------------------------------------------
																						GROSS				NET
Panel	Stiffener	Spacing	Span	WGross	WNet	WRulGross	WLoadGross	WRulNet	WLoadNet	Ps	Pw	SigX1	ShrAGross	ShrANet	ShrALoadNet	tmini0	tweb mini Prop	tweb mini	tflange mini Prop	tFlange Mini 		HGS Bend. Act	HGS Bend. Rul	Sig. Comb. Act	Sig. Comb. Rul	EtaBuck.Over.Act	EtaBuck.Over.Rul	EtaBuck.Sti.Act	EtaBuck.Sti.Rul				bflange mini prop		type	tw_grs	hw_grs	tFl_grs	hFl_grs	tot_corr_stiff	tot_corr_attplat	twebnetactual	tflangenetactual		TypeWRule	Max(Ash_Load & Ash_Test)	CaseAshr
 1	 1	0.910	5.120	4511.249	4016.991	4594.671	4594.671	4091.274	4091.274	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.865	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 2	0.910	5.120	4494.174	4002.135	4594.272	4594.272	4091.274	4091.274	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.887	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 3	0.910	5.120	4494.174	4002.135	4594.272	4594.272	4091.274	4091.274	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.887	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 4	0.910	5.120	4494.174	4002.135	4594.273	4594.273	4091.274	4091.274	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.887	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 5	0.910	5.120	4494.174	4002.135	4594.272	4594.272	4091.274	4091.274	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.887	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 6	0.910	5.120	4476.191	3986.410	4593.938	4593.938	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.036	1.000	0.903	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 7	0.910	5.120	4476.191	3986.410	4593.938	4593.938	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.903	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 8	0.910	5.120	4476.191	3986.410	4593.938	4593.938	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.903	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 9	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.038	1.000	0.921	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 10	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.038	1.000	0.921	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
